LSS NM_001145436.2
SPATC1L NM_001142854.2
FTCD NM_001320412.2
GART NM_000819.5
DNAJC28 NM_017833.5
TMEM50B NM_006134.7
IFNGR2 NM_005534.4
C21orf62 NM_001162495.3
PAXBP1 NM_013329.4
BTG3 NM_006806.5
SLC19A1 NM_001205207.3
COL18A1 NM_030582.4
DSCAM NM_001389.5
PCP4 NM_006198.3
MAP3K7CL NM_001286624.2
CCT8 NM_001282907.2
USP16 NM_001001992.2
RWDD2B NM_001320724.2
LTN1 NM_015565.3
PRMT2 NM_001242865.3
S100B NM_006272.3
DIP2A NM_206891.3
PCNT NM_001315529.2
C21orf58 NM_001286463.1
YBEY NM_001006114.3
MCM3AP NM_003906.5
COL6A2 NM_058174.3
COL6A1 NM_001848.3
PCBP3 NM_001130141.2
POFUT2 NM_015227.6
ADARB1 NM_001346687.2
SLX9 NM_001316987.2
ITGB2 NM_001303238.2
PTTG1IP NM_004339.4
SUMO3 NM_001286416.2
UBE2G2 NM_182688.3
KRTAP10-12 NM_198699.1
KRTAP12-1 NM_181686.2
KRTAP12-2 NM_181684.3
KRTAP12-3 NM_198697.2
KRTAP12-4 NM_198698.1
KRTAP10-11 NM_198692.3
KRTAP10-10 NM_181688.3
KRTAP10-9 NM_198690.3
KRTAP10-8 NM_198695.2
KRTAP10-7 NM_198689.3
KRTAP10-6 NM_198688.3
KRTAP10-5 NM_198694.3
KRTAP10-4 NM_198687.2
KRTAP10-3 NM_198696.3
KRTAP10-2 NM_198693.4
KRTAP10-1 NM_198691.3
TSPEAR NM_001272037.2
LRRC3 NM_030891.6
TRPM2 NM_001320352.3
CFAP410 NM_001271442.1
PFKL NM_002626.6
AIRE NM_000383.4
DNMT3L NM_013369.4
ICOSLG NM_001365759.2
GATD3 NM_001320383.2
PWP2 NM_005049.3
TRAPPC10 NM_001351709.1
AGPAT3 NM_001037553.2
RRP1 NM_003683.6
CSTB NM_000100.4
PDXK NM_001331030.2
RRP1B NM_015056.3
H2BC12L NM_017445.3
HSF2BP NM_007031.2
SIK1 NM_173354.5
CRYAA NM_001363766.1
U2AF1 NM_001025204.2
CBS NM_001321072.1
PKNOX1 NM_001286258.2
ERVH48-1 NM_001308491.2
NDUFV3 NM_001001503.2
WDR4 NM_001260477.2
PDE9A NM_001001580.2
SLC37A1 NM_001320537.2
RSPH1 NM_080860.4
UBASH3A NM_001243467.2
TMPRSS3 NM_032405.2
TFF1 NM_003225.3
TFF2 NM_005423.5
TFF3 NM_003226.4
ABCG1 NM_207174.1
UMODL1 NM_001004416.3
ZBTB21 NM_001320731.2
C2CD2 NM_199050.3
PRDM15 NM_022115.7
RIPK4 NM_020639.3
TMPRSS2 NM_001135099.1
MX1 NM_001282920.1
MX2 NM_002463.2
FAM3B NM_206964.2
BACE2 NM_138991.3
IGSF5 NM_001080444.2
B3GALT5 NM_033170.3
SH3BGR NM_001317740.2
LCA5L NM_001384301.1
GET1 NM_001146218.3
GET1-SH3BGR NM_001350300.2
HMGN1 NM_004965.7
BRWD1 NM_001007246.3
PSMG1 NM_001320795.1
ETS2 NM_005239.6
ERG NM_001291391.1
KCNJ15 NM_170737.3
KCNJ6 NM_002240.5
DYRK1A NM_130438.2
VPS26C NM_006052.2
TTC3 NM_003316.4
PIGP NM_001320480.2
RIPPLY3 NM_018962.3
HLCS NM_001352518.2
SIM2 NM_009586.5
CLDN14 NM_012130.4
CHAF1B NM_005441.3
MORC3 NM_001320445.2
DOP1B NM_005128.4
CBR3 NM_001236.4
CBR1 NM_001757.4
SETD4 NM_001007261.3
RUNX1 NM_001122607.2
CLIC6 NM_053277.3
RCAN1 NM_001331016.2
KCNE1 NM_001127670.4
SMIM34 NM_001367348.2
C21orf140 NM_001282537.2
SMIM11 NM_058182.5
KCNE2 NM_172201.2
SLC5A3 NM_006933.7
MRPS6 NM_032476.4
ATP5PO NM_001697.3
ITSN1 NM_001331012.2
CRYZL1 NM_145858.3
DONSON NM_017613.4
SON NM_001291411.2
IFNAR1 NM_001384502.1
IL10RB NM_000628.5
IFNAR2 NM_001289126.2
OLIG1 NM_138983.3
OLIG2 NM_005806.4
SYNJ1 NM_001160306.2
CFAP298 NM_001350335.2
TCP10L NM_144659.7
CFAP298-TCP10L NM_001350338.2
EVA1C NM_001320744.2
URB1 NM_014825.3
MRAP NM_001379228.1
MIS18A NM_018944.3
HUNK NM_014586.2
SCAF4 NM_020706.2
SOD1 NM_000454.5
TIAM1 NM_001353684.2
KRTAP19-8 NM_001099219.1
KRTAP11-1 NM_175858.3
KRTAP7-1 NM_181606.3
KRTAP8-1 NM_175857.4
KRTAP21-1 NM_181619.2
KRTAP21-2 NM_181617.3
KRTAP21-3 NM_001164435.1
KRTAP20-3 NM_001128077.1
KRTAP20-2 NM_181616.3
KRTAP20-4 NM_001350977.1
KRTAP20-1 NM_181615.2
KRTAP6-1 NM_181602.2
KRTAP22-1 NM_181620.2
KRTAP6-2 NM_181604.2
KRTAP6-3 NM_181605.4
KRTAP22-2 NM_001164434.1
KRTAP19-7 NM_181614.3
KRTAP19-6 NM_181612.3
KRTAP19-5 NM_181611.3
KRTAP19-4 NM_181610.3
KRTAP19-3 NM_181609.4
KRTAP19-2 NM_181608.2
KRTAP19-1 NM_181607.3
KRTAP15-1 NM_181623.3
KRTAP13-4 NM_181600.3
KRTAP13-3 NM_181622.2
KRTAP13-1 NM_181599.3
KRTAP13-2 NM_181621.4
KRTAP23-1 NM_181624.1
KRTAP27-1 NM_001077711.1
KRTAP26-1 NM_203405.2
KRTAP25-1 NM_001128598.1
KRTAP24-1 NM_001085455.3
CLDN8 NM_199328.3
CLDN17 NM_012131.3
GRIK1 NM_001320630.2
BACH1 NM_206866.3
N6AMT1 NM_013240.6
ADAMTS5 NM_007038.5
ADAMTS1 NM_006988.5
CYYR1 NM_001320768.2
APP NM_001136016.3
GABPA NM_001197297.2
ATP5PF NM_001320267.2
JAM2 NM_001270408.2
MRPL39 NM_080794.4
NCAM2 NM_001352597.2
TMPRSS15 NM_002772.3
CHODL NM_001204174.2
C21orf91 NM_001100420.2
CXADR NM_001207065.2
USP25 NM_001388299.1
NRIP1 NM_003489.4
SAMSN1 NM_001395856.1
HSPA13 NM_006948.5
RBM11 NM_144770.5
LIPI NM_001302998.2
POTED NM_174981.6
TPTE NM_001290224.2
LOC102723475 NM_001330065.1
LOC107983987 NM_001386820.1
LOC102723451 NM_001364711.1
LOC102723553 NM_001394153.1
LOC102724652 NM_001320719.1
LOC102724594 NM_001320651.2
LOC102724560 NM_001354012.1
LOC102724428 NM_001320643.3
LOC102724159 NM_001368238.1
LOC102724023 NM_001363758.2
LOC102723996 NM_001363770.2
